(63,4537855, 10,9891132),
(63,4547440, 10,9890758),
(63,4587398, 10,9901150),
(63,4607497, 10,9903634),
(63,4608256, 10,9903769),
(63,4605634, 10,9930159),
(63,4603940, 10,9962421),
(63,4600499, 11,0099544),
(63,4601164, 11,0105821),
(63,4623493, 11,0168651),
(63,4628362, 11,0221279),
(63,4630110, 11,0272423),
(63,4631626, 11,0316003),
(63,4632142, 11,0331392),
(63,4632412, 11,0338342),
(63,4633867, 11,0381551),
(63,4634799, 11,0398882),
(63,4644407, 11,0427284),
(63,4648254, 11,0438213),
(63,4658261, 11,0478037),
(63,4662632, 11,0503393),
(63,4667102, 11,0549118),
(63,4667215, 11,0556362),
(63,4666062, 11,0574364),
(63,4656142, 11,0628652),
(63,4655725, 11,0637911),
(63,4655942, 11,0679624),
(63,4654546, 11,0710665),
(63,4651173, 11,0746720),
(63,4649618, 11,0761900),
(63,4648180, 11,0790716),
(63,4648237, 11,0793128),
(63,4651130, 11,0826281),
(63,4664621, 11,0903973),
(63,4662223, 11,0945761),
(63,4662027, 11,0947360),
(63,4661079, 11,0955629),
(63,4660364, 11,0961431),
(63,4657547, 11,0985206),
(63,4648502, 11,1061934),
(63,4642185, 11,1114942),
(63,4640628, 11,1128929),
(63,4640377, 11,1131228),
(63,4639646, 11,1139025),
(63,4639490, 11,1141700),
(63,4639440, 11,1142953),
(63,4640018, 11,1161996),
(63,4640638, 11,1166977),
(63,4641644, 11,1173606),
(63,4645880, 11,1200721),
(63,4647614, 11,1212121),
(63,4650423, 11,1232490),
(63,4653219, 11,1258395),
(63,4654487, 11,1272816),
(63,4658511, 11,1326004),
(63,4660014, 11,1370904),
(63,4660371, 11,1387099),
(63,4660575, 11,1391750),
(63,4661116, 11,1401963),
(63,4662379, 11,1424234),
(63,4663528, 11,1448218),
(63,4660239, 11,1541333),
(63,4656519, 11,1585311),
(63,4655237, 11,1594714),
(63,4654992, 11,1596419),
(63,4646148, 11,1657272),
(63,4645542, 11,1661494),
(63,4643473, 11,1675747),
(63,4639875, 11,1699411),
(63,4625610, 11,1781726),
(63,4616244, 11,1835539),
(63,4613884, 11,1849126),
(63,4609096, 11,1876625),
(63,4601029, 11,1923019),
(63,4592916, 11,1966049),
(63,4582926, 11,1987037),
(63,4579636, 11,1989844),
(63,4507274, 11,2018108),
(63,4495741, 11,2024341),
(63,4476548, 11,2094155),
(63,4443493, 11,2166889),
(63,4436437, 11,2228786),
(63,4435930, 11,2267689),
(63,4435897, 11,2270433),
(63,4435353, 11,2308030),
(63,4434260, 11,2388757),
(63,4433975, 11,2407974),
(63,4434532, 11,2456640),
(63,4435544, 11,2468327),
(63,4435944, 11,2472572),
(63,4439254, 11,2499417),
(63,4444224, 11,2538524),
(63,4451203, 11,2588426),
(63,4452799, 11,2596425),
(63,4518425, 11,2702538),
(63,4523320, 11,2708755),
(63,4588390, 11,2814632),
(63,4592249, 11,2822469),
(63,4598751, 11,2861609),
(63,4599629, 11,2898255),
(63,4595058, 11,2927687),
(63,4592652, 11,2938412),
(63,4588749, 11,2955631),
(63,4586851, 11,2963906),
(63,4585518, 11,2969805),
(63,4599478, 11,3246826),
(63,4600937, 11,3412397),
(63,4600959, 11,3413597),
(63,4600988, 11,3417540),
(63,4601232, 11,3437291),
(63,4615646, 11,3511163),
(63,4621739, 11,3552846),
(63,4621276, 11,3561777),
(63,4614104, 11,3600257),
(63,4612955, 11,3653714),
(63,4612909, 11,3688218),
(63,4612549, 11,3695881),
(63,4609211, 11,3768388),
(63,4608479, 11,3778125),
(63,4605752, 11,3808889),
(63,4612295, 11,3875607),
(63,4612023, 11,3883994),
(63,4604565, 11,3991527),
(63,4597376, 11,4016075),
(63,4569315, 11,4138929),
(63,4577152, 11,4167227),
(63,4584471, 11,4260880),
(63,4576217, 11,4352682),
(63,4580692, 11,4401842),
(63,4580163, 11,4424609),
(63,4579693, 11,4446431),
(63,4579718, 11,4469183),
(63,4579982, 11,4476753),
(63,4597244, 11,4525981),
(63,4656531, 11,4639439),
(63,4656452, 11,4640840),
(63,4673014, 11,4858443),
(63,4676219, 11,4887058),
(63,4676214, 11,4887776),
(63,4675931, 11,4893013),
(63,4675360, 11,4897536),
(63,4653556, 11,4951440),
(63,4651819, 11,4957885),
(63,4650561, 11,4961988),
(63,4650086, 11,4963408),
(63,4620397, 11,5275240),
(63,4602363, 11,5433709),
(63,4595803, 11,5453453),
(63,4571105, 11,5694511),
(63,4566025, 11,5707886),
(63,4546856, 11,5779080),
(63,4546258, 11,5783872),
(63,4466169, 11,6014687),
(63,4458936, 11,6041442),
(63,4449418, 11,6073457),
(63,4446896, 11,6081356),
(63,4445855, 11,6135440),
(63,4447786, 11,6143282),
(63,4455317, 11,6166882),
(63,4455818, 11,6169464),
(63,4456017, 11,6202070),
(63,4448025, 11,6241421),
(63,4439736, 11,6261459),
(63,4434771, 11,6273263),
(63,4429130, 11,6308203),
(63,4429843, 11,6324544),
(63,4432568, 11,6394022),
(63,4432548, 11,6395519),
(63,4432371, 11,6408838),
(63,4432490, 11,6447302),
(63,4432497, 11,6448098),
(63,4432826, 11,6479128),
(63,4429661, 11,6570341),
(63,4431050, 11,6598383),
(63,4431354, 11,6601248),
(63,4433472, 11,6621291),
